ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
36,New York,NY,36001,Albany County,36001,"Albany County, New York",522.887676394942,315041,0,146137,122,132175,949,55161,2365,8915,876,34651,1502,15683,1236,9405,822,55160,51,57079,65,36721,1387,7998,669,5252,685,94930,640,19526,1030,1968,286,1925,399,16477,955,18083,156,18.4,0.8,5.2,0.5,26.2,1.1,7.4,0.6,3.0,0.3,17.5,0.1,18.1,0.1,11.8,0.4,6.0,0.5,1.8,0.2,30.1,0.2,13.4,0.7,1.3,0.2,1.4,0.3,12.5,0.7,5.7,0.0,0.2459,0.459,0.7213,0.082,0.0492,1.5574,0.1639,0.1967,0.2131,0.2131,0.7705,0.7213,2.1147,0.2951,0.7869,0.7869,0.7869,0.8852,0.2131,0.4262,0.8361,0.7213,3.0819,0.8361,7.5409,0.4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412694,15442,937,35953,1120,20613,0,22902,556,152,69,177,49,14181,1293,952,309,11.7,0.7,11.4,0.4,6.5,0.0,7.3,0.2,0.0,0.1,0.1,0.1,4.5,0.4,0.3,0.1
36,New York,NY,36003,Allegany County,36003,"Allegany County, New York",1029.434838154772,47222,0,23636,54,16813,321,11314,579,1545,248,3475,271,2592,291,2491,365,9128,50,9265,47,7664,407,617,98,271,109,3027,59,462,114,3855,249,264,70,1225,161,4663,48,26.7,1.4,7.3,1.1,20.7,1.6,8.6,1.0,5.3,0.8,19.3,0.1,19.6,0.1,16.4,0.9,3.6,0.6,0.6,0.2,6.4,0.1,1.9,0.5,16.3,1.1,1.6,0.4,7.3,0.9,9.9,0.1,0.8852,0.9508,0.0984,0.377,0.7377,3.0491,0.6885,0.541,0.4262,0.8033,0.082,0.3115,2.164,0.3443,0.0328,0.0328,0.0328,0.0328,0.9672,0.541,0.2623,0.9836,2.7869,0.6721,8.0328,0.5246,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,44037,2691,234,722,82,886,0,439,149,51,31,26,25,865,183,38,22,16.0,1.4,1.5,0.2,1.9,0.0,0.9,0.3,0.1,0.1,0.1,0.1,1.8,0.4,0.1,0.1
36,New York,NY,36005,Bronx County,36005,"Bronx County, New York",42.176112202748,1443229,0,547816,514,525387,1329,544179,10015,73599,2785,254627,5427,240495,4254,108251,3744,191647,185,355908,28,225484,4154,74886,2395,195143,4517,1319327,758,369720,3322,828,293,65669,2616,316165,3062,53830,1280,38.6,0.7,11.2,0.4,48.5,1.0,25.5,0.4,7.6,0.3,13.3,0.1,24.7,0.1,15.8,0.3,14.3,0.5,14.5,0.3,91.4,0.1,67.5,0.6,0.2,0.1,12.5,0.5,60.2,0.6,3.7,0.1,1.0,1.0,1.0,1.0,0.9508,4.9508,1.0,0.0,0.9672,0.7049,1.0,0.9836,3.6557,0.9672,1.0,1.0,1.0,0.9836,0.0328,1.0,0.9836,0.4426,3.4426,0.9508,13.0491,1.0,1,1,1,1,1,5,0,1,0,1,1,3,1,1,1,0,1,1,0,3,12,1153071,85216,2779,408777,1935,814017,0,54493,950,3225,415,427,298,25335,1891,13053,1478,16.2,0.5,28.3,0.1,56.4,0.0,3.8,0.1,0.2,0.1,0.0,0.1,1.8,0.1,0.9,0.1
36,New York,NY,36007,Broome County,36007,"Broome County, New York",705.650281266078,198365,0,92596,87,81339,810,51702,2158,6514,798,22491,1132,12353,963,7375,905,39154,36,37879,0,31060,1333,4626,528,2769,450,37103,328,7799,620,3703,388,1540,313,10204,768,10384,116,27.4,1.1,6.9,0.8,27.7,1.4,9.4,0.7,3.8,0.5,19.7,0.1,19.1,0.0,15.9,0.7,5.7,0.6,1.5,0.2,18.7,0.2,8.5,0.7,4.0,0.4,1.9,0.4,12.5,0.9,5.2,0.1,0.9344,0.8852,0.8033,0.4754,0.3279,3.4262,0.8033,0.6066,0.3279,0.7377,0.6885,0.6885,3.0492,0.8525,0.6066,0.6066,0.6066,0.7049,0.3115,0.7213,0.8361,0.6885,3.2623,0.918,10.3443,0.9016,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215845,10422,739,9913,836,9431,0,9767,345,197,96,70,83,7336,963,389,131,12.8,0.9,5.0,0.4,4.8,0.0,4.9,0.2,0.1,0.1,0.0,0.1,3.7,0.5,0.2,0.1
36,New York,NY,36009,Cattaraugus County,36009,"Cattaraugus County, New York",1308.162176975352,77000,0,40254,81,31491,340,20278,966,1897,283,7418,494,5707,489,5054,451,15353,60,16876,0,12410,566,1851,245,469,134,8613,255,1099,164,4643,334,581,143,3289,337,2757,46,27.1,1.3,5.4,0.8,23.6,1.5,10.7,0.9,6.6,0.6,19.9,0.1,21.9,0.0,16.3,0.7,5.9,0.8,0.6,0.2,11.2,0.3,2.7,0.4,11.5,0.8,1.9,0.5,10.4,1.1,3.6,0.1,0.918,0.541,0.4098,0.623,0.9344,3.4262,0.8033,0.6557,0.8689,0.7869,0.7377,0.3115,3.3607,0.918,0.377,0.377,0.377,0.1148,0.8361,0.7213,0.6721,0.4098,2.7541,0.6393,9.918,0.8689,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,74403,6203,358,1132,170,1828,0,549,105,2050,155,0,31,2915,344,139,76,19.7,1.1,1.5,0.2,2.4,0.0,0.7,0.1,2.7,0.2,0.0,0.1,3.8,0.4,0.2,0.1
36,New York,NY,36011,Cayuga County,36011,"Cayuga County, New York",691.586670356878,76171,0,36701,68,30910,384,16744,1213,1545,277,8005,723,6373,516,3023,474,15272,105,14810,0,10717,614,1640,242,333,141,8864,275,2647,451,3597,269,384,153,3092,352,3826,129,23.1,1.7,4.3,0.8,25.9,2.3,11.5,0.9,4.1,0.6,20.0,0.1,19.4,0.0,14.6,0.8,5.3,0.8,0.5,0.2,11.6,0.4,7.2,1.2,9.8,0.7,1.3,0.5,10.0,1.1,5.0,0.2,0.6885,0.1311,0.6721,0.7541,0.4262,2.672,0.5738,0.6721,0.3607,0.4918,0.5902,0.2131,2.3279,0.459,0.4262,0.4262,0.4262,0.6557,0.6885,0.3443,0.5902,0.6557,2.9344,0.7377,8.3605,0.5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67157,4480,444,2561,364,2428,0,575,127,96,41,8,10,2869,442,327,187,14.5,1.4,3.4,0.5,3.2,0.0,0.8,0.2,0.1,0.1,0.0,0.1,3.8,0.6,0.4,0.2
36,New York,NY,36013,Chautauqua County,36013,"Chautauqua County, New York",1060.409922456338,127440,0,66350,74,53405,527,33992,1680,3161,402,13753,731,9228,500,6866,817,26525,91,25842,14,22064,1123,3077,376,1715,321,17936,285,3320,424,4265,405,816,199,6302,568,5211,56,27.7,1.4,5.4,0.7,25.8,1.3,10.3,0.6,5.5,0.7,20.8,0.1,20.3,0.1,17.6,0.9,5.8,0.7,1.4,0.3,14.1,0.2,5.0,0.6,6.4,0.6,1.5,0.4,11.8,1.0,4.1,0.0,0.9672,0.541,0.623,0.5902,0.7869,3.5083,0.8525,0.7705,0.5574,0.9508,0.7213,0.6721,3.6721,0.9836,0.4918,0.4918,0.4918,0.459,0.4426,0.4918,0.7705,0.5082,2.6721,0.6066,10.3443,0.9016,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,128513,8209,644,2804,240,10333,0,894,129,233,81,61,11,3480,427,131,58,15.4,1.2,2.2,0.2,8.1,0.0,0.7,0.1,0.2,0.1,0.0,0.1,2.7,0.3,0.1,0.1
36,New York,NY,36015,Chemung County,36015,"Chemung County, New York",407.333146274778,83584,0,39035,71,34779,452,19213,1436,2479,395,9094,728,5792,452,3522,567,16376,77,17589,43,13079,748,2238,323,496,164,12708,342,2329,335,1760,186,394,163,3538,395,3983,105,24.1,1.8,6.3,1.0,26.1,2.1,9.8,0.8,4.3,0.7,19.6,0.1,21.0,0.1,16.1,0.9,6.4,0.9,0.6,0.2,15.2,0.4,6.0,0.9,4.5,0.5,1.1,0.5,10.2,1.1,4.8,0.1,0.7705,0.8033,0.6885,0.5574,0.5082,3.3279,0.7869,0.5738,0.7049,0.7705,0.8689,0.3115,3.2296,0.9016,0.5246,0.5246,0.5246,0.5738,0.3279,0.1639,0.6393,0.623,2.3279,0.4426,9.41,0.7705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84286,5192,551,4410,417,2874,0,1275,170,102,51,0,31,3723,561,324,154,14.9,1.5,5.3,0.5,3.4,0.0,1.5,0.2,0.1,0.1,0.0,0.1,4.5,0.7,0.4,0.2
36,New York,NY,36017,Chenango County,36017,"Chenango County, New York",893.442683995658,47096,0,24384,46,19886,332,10268,740,1624,284,4172,362,3897,378,1654,325,10043,59,9672,21,8720,433,983,170,175,106,3050,206,674,163,5003,382,342,108,1664,267,680,17,22.2,1.6,7.1,1.2,21.0,1.8,11.5,1.1,3.6,0.7,21.3,0.1,20.5,0.1,18.7,0.9,4.9,0.9,0.4,0.2,6.5,0.4,2.8,0.7,20.5,1.6,1.7,0.5,8.4,1.3,1.4,0.0,0.6393,0.918,0.1148,0.7541,0.2787,2.7049,0.6066,0.8361,0.623,1.0,0.459,0.1311,3.0492,0.8525,0.082,0.082,0.082,0.1311,1.0,0.623,0.3443,0.0164,2.1148,0.3607,7.9509,0.5082,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,43018,2800,290,302,65,1125,0,247,68,13,16,5,7,1210,214,148,85,14.1,1.5,0.6,0.1,2.4,0.0,0.5,0.1,0.0,0.1,0.0,0.1,2.6,0.5,0.3,0.2
36,New York,NY,36019,Clinton County,36019,"Clinton County, New York",1037.750679864652,79839,0,37309,118,32651,483,15736,1383,1755,313,7544,632,6687,565,2485,364,14244,126,14325,0,13213,932,1485,278,275,147,8229,226,2227,347,4580,478,386,167,3094,418,6620,135,21.4,1.9,4.7,0.8,23.1,1.9,12.1,1.0,3.3,0.5,17.8,0.2,17.9,0.0,17.3,1.2,4.5,0.8,0.4,0.2,10.3,0.3,6.0,0.9,12.3,1.3,1.2,0.5,9.5,1.3,8.3,0.2,0.4918,0.2459,0.3115,0.8197,0.1148,1.9837,0.3115,0.2623,0.1967,0.918,0.3279,0.1311,1.836,0.1475,0.3115,0.3115,0.3115,0.5738,0.8689,0.2623,0.5246,0.9016,3.1312,0.8852,7.2624,0.3607,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,81595,4574,548,2693,199,2340,0,1143,155,206,121,31,39,1601,257,215,181,14.0,1.7,3.4,0.2,2.9,0.0,1.4,0.2,0.3,0.2,0.0,0.1,2.0,0.3,0.3,0.2
36,New York,NY,36021,Columbia County,36021,"Columbia County, New York",634.663160989032,61469,0,33292,74,25300,520,11145,982,1865,277,6140,528,3764,571,2366,448,15226,114,10101,30,8649,680,1345,288,711,178,9764,354,1223,200,2552,368,288,91,1570,286,2272,69,18.6,1.6,5.9,0.9,24.3,2.0,8.0,1.2,3.9,0.7,24.8,0.2,16.4,0.1,14.4,1.1,5.3,1.1,1.2,0.3,15.9,0.6,3.7,0.6,7.7,1.1,1.1,0.4,6.2,1.1,3.7,0.1,0.2951,0.6885,0.4918,0.1803,0.3607,2.0164,0.3443,0.9508,0.1148,0.4098,0.5902,0.623,2.6886,0.6885,0.541,0.541,0.541,0.3115,0.5738,0.1639,0.1311,0.4426,1.6229,0.082,6.8689,0.3279,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,53765,3566,400,2012,340,3338,0,1377,83,21,20,5,10,2597,400,414,217,14.1,1.5,3.3,0.6,5.4,0.0,2.2,0.1,0.0,0.1,0.0,0.1,4.2,0.7,0.7,0.4
36,New York,NY,36023,Cortland County,36023,"Cortland County, New York",498.773495289206,46755,0,20803,55,18514,288,9225,790,1320,225,4635,437,2742,316,1713,269,7714,58,8843,0,6160,477,995,208,147,109,4372,279,1195,206,1558,188,268,99,1664,268,3546,50,21.4,1.8,5.4,0.9,25.0,2.3,9.4,1.1,3.7,0.6,16.5,0.1,18.9,0.0,13.3,1.0,5.4,1.1,0.3,0.2,9.4,0.6,5.7,1.0,7.5,0.9,1.4,0.5,9.0,1.5,7.6,0.1,0.4918,0.541,0.5574,0.4754,0.3115,2.3771,0.5082,0.0984,0.2951,0.2787,0.6393,0.0492,1.3607,0.0164,0.2459,0.2459,0.2459,0.5246,0.541,0.4262,0.4754,0.8689,2.8361,0.7049,6.8198,0.3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45678,2934,364,992,89,1408,0,596,92,31,21,0,28,1090,210,255,175,15.8,1.9,2.1,0.2,3.0,0.0,1.3,0.2,0.1,0.1,0.0,0.1,2.3,0.4,0.5,0.4
36,New York,NY,36025,Delaware County,36025,"Delaware County, New York",1442.595472881014,44637,0,30092,71,18780,429,11067,848,1253,241,4441,414,3195,414,2003,395,11250,76,7235,0,8206,524,825,174,336,231,4190,153,490,132,3694,382,195,72,1397,222,2205,19,26.0,2.0,6.1,1.1,23.6,2.1,9.6,1.2,4.5,0.9,25.2,0.2,16.2,0.0,18.5,1.2,4.4,0.9,0.8,0.5,9.4,0.3,1.6,0.4,12.3,1.3,1.1,0.4,7.4,1.2,4.9,0.0,0.8525,0.7541,0.4098,0.541,0.6066,3.164,0.7213,0.9836,0.082,0.9836,0.3115,0.4426,2.8033,0.7705,0.2459,0.2459,0.2459,0.0164,0.8689,0.1639,0.2951,0.6393,1.9836,0.2459,8.1968,0.5738,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,40200,2906,387,609,144,1928,0,350,51,35,36,4,7,1133,215,131,95,15.5,2.0,1.4,0.3,4.3,0.0,0.8,0.1,0.1,0.1,0.0,0.1,2.5,0.5,0.3,0.2
36,New York,NY,36027,Dutchess County,36027,"Dutchess County, New York",795.601244904322,296467,0,122129,120,113972,677,39601,2010,7749,728,30442,1268,17811,1062,12423,1239,54548,63,55027,0,37363,1590,5484,498,5722,744,92896,803,11796,796,3864,420,1921,303,8193,596,17366,169,14.1,0.7,5.0,0.5,26.7,1.1,8.4,0.5,4.3,0.4,18.4,0.1,18.6,0.0,12.9,0.5,4.8,0.4,2.0,0.3,31.3,0.3,9.7,0.7,3.2,0.3,1.7,0.3,7.2,0.5,5.9,0.1,0.082,0.3443,0.7705,0.2787,0.5082,1.9837,0.3115,0.377,0.2459,0.2459,0.4098,0.7705,2.0491,0.2459,0.8197,0.8197,0.8197,0.7541,0.2787,0.623,0.2295,0.7377,2.623,0.5574,7.4755,0.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284649,9310,680,29581,701,40137,0,9968,540,257,91,118,81,10730,1089,2105,612,8.2,0.6,10.0,0.2,13.5,0.0,3.4,0.2,0.1,0.1,0.0,0.1,3.6,0.4,0.7,0.2
36,New York,NY,36029,Erie County,36029,"Erie County, New York",1042.731469024032,951232,0,438630,220,406547,1489,202360,5535,24274,1491,105059,2701,52431,2073,27133,1570,175697,40,191335,53,129092,2926,24481,1348,16281,1178,251230,1174,37002,1315,6411,648,5492,528,49005,1836,25648,294,21.8,0.6,5.0,0.3,25.8,0.7,7.8,0.3,2.9,0.2,18.5,0.1,20.1,0.1,13.7,0.3,6.0,0.3,1.8,0.1,26.4,0.1,8.5,0.3,1.5,0.1,1.3,0.1,12.1,0.4,2.7,0.0,0.5574,0.3443,0.623,0.1639,0.0328,1.7214,0.2131,0.4098,0.541,0.3279,0.7705,0.7213,2.7705,0.7049,0.7541,0.7541,0.7541,0.7049,0.2295,0.3443,0.7869,0.3279,2.3935,0.459,7.6395,0.4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033605,49349,1557,119278,1685,56711,0,40925,666,3203,293,185,77,28010,1977,2918,1016,12.1,0.4,12.5,0.2,6.0,0.0,4.3,0.1,0.3,0.1,0.0,0.1,2.9,0.2,0.3,0.1
36,New York,NY,36031,Essex County,36031,"Essex County, New York",1794.1206990070739,37314,0,25262,55,15750,432,6977,721,924,180,3613,364,2418,325,1458,303,9264,53,5915,62,5925,493,674,181,189,120,3022,166,735,181,1505,229,179,72,1485,230,2236,58,19.8,2.0,5.1,1.0,22.9,2.2,8.4,1.1,4.1,0.9,24.8,0.1,15.9,0.2,16.7,1.4,4.3,1.1,0.5,0.3,8.1,0.4,3.0,0.7,6.0,0.9,1.1,0.5,9.4,1.4,6.0,0.2,0.3607,0.3934,0.2787,0.2787,0.4262,1.7377,0.2295,0.9508,0.0656,0.8361,0.2623,0.2131,2.3279,0.459,0.1803,0.1803,0.1803,0.2131,0.4262,0.1639,0.4918,0.7541,2.0491,0.2951,6.295,0.2131,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36012,1942,206,894,97,1066,0,115,47,90,39,10,15,575,108,272,152,12.3,1.3,2.4,0.3,2.9,0.0,0.3,0.1,0.2,0.1,0.0,0.1,1.5,0.3,0.7,0.4
36,New York,NY,36033,Franklin County,36033,"Franklin County, New York",1629.29528725981,47459,0,25352,75,18933,356,11329,1143,1049,209,4128,466,4412,496,2679,423,8753,47,9647,167,7716,541,859,174,128,94,7950,152,997,191,2621,280,240,82,2088,347,4326,93,26.2,2.6,5.1,1.0,21.8,2.4,13.0,1.5,6.0,0.9,18.4,0.1,20.3,0.4,17.4,1.2,4.5,0.9,0.3,0.2,16.8,0.3,3.9,0.8,10.3,1.1,1.3,0.4,11.0,1.8,9.1,0.2,0.8689,0.3934,0.1803,0.8689,0.8689,3.1804,0.7377,0.377,0.5574,0.9344,0.3279,0.0492,2.2459,0.377,0.5902,0.5902,0.5902,0.3443,0.7377,0.3443,0.7541,0.9344,3.1148,0.8689,9.1313,0.7377,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,47324,3218,336,1628,140,1422,0,312,66,3415,173,0,28,943,256,230,125,17.0,1.8,3.4,0.3,3.0,0.0,0.7,0.1,7.2,0.4,0.0,0.1,2.0,0.5,0.5,0.3
